, Time, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_PRF_DM, PAPI_MEM_WCY, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM, PAPI_TLB_DM, PAPI_L2_DCA, PAPI_L3_DCA,,,,,,,,,,,,,,
, PAPI_L2_DCM,22595674883,76389755907,1.64578E+11,3.53212E+11,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, PAPI_L1_DCM, PAPI_L3_LDM, PAPI_L1_LDM, PAPI_L2_LDM, PAPI_L2_DCM,,,,,,,,,,,,,,,,,,,
,128,78006668262,1252172028,15436534515,9734561172,2.55454E+11,,,,,,,,,,,,,,,,,,,
,256,73071359225,8226856048,22067331533,5425200112,1.64578E+11,,,,,,,,,,,,,,,,,,,
,512,70283535274,3710526956,21962305731,3487013851,1.48867E+11,,,,,,,,,,,,,,,,,,,
,1024,70503127859,3748324426,18425697298,3241676793,1.42824E+11,,,,,,,,,,,,,,,,,,,
,2048,71730841274,3364891837,19692019405,2804723654,1.40544E+11,,,,,,,,,,,,,,,,,,,
,4096,1.42E+11,3617004903,48935605493,2880589703,1.38528E+11,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, PAPI_L3_LDM,,,,,,,,,,,,,,,,,,,,,,,
,128,1252172028,,,,,,,,,,,,,,,,,,,,,,,
,256,8226856048,,,,,,,,,,,,,,,,,,,,,,,
,512,3710526956,,,,,,,,,,,,,,,,,,,,,,,
,1024,3748324426,,,,,,,,,,,,,,,,,,,,,,,
,2048,3364891837,,,,,,,,,,,,,,,,,,,,,,,
